	Gini-importance	mcc	balanced_accuracy
feature_parsimony_trees_binary_max	0.0	0.2755008277397043	0.2755008277397043
feature_parsimony_trees_median	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_var	0.0	0.0	0.0
feature_parsimony_trees_pct_25	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_pct_75	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_min	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_max	0.0	0.49291404663050153	0.49291404663050153
feature_parsimony_trees_binary_median	0.0	0.5767354509899312	0.5767354509899312
feature_parsimony_trees_binary_min	0.0	0.0	0.0
feature_msa_entropy_median	0.0	0.06962408060964463	0.06962408060964463
feature_parsimony_trees_binary_pct_25	8.760470390319824	0.5840214997404961	0.5840214997404961
feature_parsimony_trees_binary_pct_75	13.124750137329102	0.5638806899786293	0.5638806899786293
feature_msa_entropy_min	29.217700004577637	0.0	0.0
feature_msa_entropy_pct_25	551.0209283828735	0.0015093136443958587	0.0015093136443958587
feature_msa_entropy_mean	1163.7437763214111	0.06962408060964463	0.06962408060964463
feature_msa_entropy_pct_75	1491.6370878219604	0.0	0.0
feature_msa_entropy_var	1575.439477443695	0.08076358017782431	0.08076358017782431
feature_msa_constant_sites_pct	1798.4954340457916	0.06947809862452806	0.06947809862452806
feature_msa_entropy_max	1853.621822834015	0.05244112119268272	0.05244112119268272
feature_msa_n_seq	1933.8571138381958	0.0624534047030667	0.0624534047030667
feature_partition_size_ratio	2480.3876061439514	0.0	0.0
feature_partition_size	3513.5591316223145	0.005879407675194598	0.005879407675194598
feature_msa_pypythia_msa_difficulty	3542.964489221573	0.1195538322504408	0.1195538322504408
feature_divergence_ratio	3726.798027276993	0.0	0.0
feature_parsimony_trees_binary_var	3930.4717898368835	0.11785220194865387	0.11785220194865387
feature_msa_n_loci	4400.959177017212	0.0	0.0
feature_partition_divergence	6991.794977903366	0.0	0.0
feature_msa_n_unique_sites	7013.602557182312	0.0	0.0
feature_parsimony_trees_mean	7157.290248155594	0.49291404663050153	0.49291404663050153
feature_partition_branch_vs_mean	10030.896866559982	0.35080962345522276	0.35080962345522276
feature_partition_branch	36137.85469865799	0.5982877770365347	0.5982877770365347
feature_parsimony_trees_binary_mean	235257.10717964172	0.5767354509899312	0.5767354509899312
